"","SoortMisdrijf","SoortMisdrijf_label","WijkenEnBuurten","WijkenEnBuurten_label","Perioden","Perioden_Date","Perioden_freq","Perioden_label","GeregistreerdeMisdrijven_1","Gemeentenaam_2","SoortRegio_3"
"2080","0.0.0 ","Totaal misdrijven","BU03730400","Egmond aan Zee","2023JJ00",2023-01-01,"Y","2023",109,"Bergen (NH.)                  ","Buurt   "
"2081","0.0.0 ","Totaal misdrijven","BU03730401","Prins Hendrik Stichting","2023JJ00",2023-01-01,"Y","2023",5,"Bergen (NH.)                  ","Buurt   "
"2082","0.0.0 ","Totaal misdrijven","BU03730402","Zuid I en II","2023JJ00",2023-01-01,"Y","2023",42,"Bergen (NH.)                  ","Buurt   "
"2083","0.0.0 ","Totaal misdrijven","BU03730403","Sportlaan","2023JJ00",2023-01-01,"Y","2023",16,"Bergen (NH.)                  ","Buurt   "
"2084","0.0.0 ","Totaal misdrijven","BU03730500","Egmond-Binnen","2023JJ00",2023-01-01,"Y","2023",44,"Bergen (NH.)                  ","Buurt   "
"2085","0.0.0 ","Totaal misdrijven","BU03730501","Rinnegom","2023JJ00",2023-01-01,"Y","2023",1,"Bergen (NH.)                  ","Buurt   "
"2086","0.0.0 ","Totaal misdrijven","BU03730600","Egmond aan den Hoef","2023JJ00",2023-01-01,"Y","2023",56,"Bergen (NH.)                  ","Buurt   "
"2087","0.0.0 ","Totaal misdrijven","BU03730601","Slotplan","2023JJ00",2023-01-01,"Y","2023",6,"Bergen (NH.)                  ","Buurt   "
"2088","0.0.0 ","Totaal misdrijven","BU03730602","Wimmenum","2023JJ00",2023-01-01,"Y","2023",6,"Bergen (NH.)                  ","Buurt   "
"2089","0.0.0 ","Totaal misdrijven","BU03730609","Verspreide huizen Egmondermeer","2023JJ00",2023-01-01,"Y","2023",11,"Bergen (NH.)                  ","Buurt   "
"2090","0.0.0 ","Totaal misdrijven","BU03730700","Schoorl met Bregtdorp","2023JJ00",2023-01-01,"Y","2023",90,"Bergen (NH.)                  ","Buurt   "
"2091","0.0.0 ","Totaal misdrijven","BU03730701","Schoorldam (gedeeltelijk)","2023JJ00",2023-01-01,"Y","2023",4,"Bergen (NH.)                  ","Buurt   "
"2092","0.0.0 ","Totaal misdrijven","BU03730702","Aagtdorp","2023JJ00",2023-01-01,"Y","2023",19,"Bergen (NH.)                  ","Buurt   "
"2093","0.0.0 ","Totaal misdrijven","BU03730703","Catrijp","2023JJ00",2023-01-01,"Y","2023",12,"Bergen (NH.)                  ","Buurt   "
"2094","0.0.0 ","Totaal misdrijven","BU03730704","Groet met Hargen","2023JJ00",2023-01-01,"Y","2023",61,"Bergen (NH.)                  ","Buurt   "
"2095","0.0.0 ","Totaal misdrijven","BU03730705","Camperduin","2023JJ00",2023-01-01,"Y","2023",6,"Bergen (NH.)                  ","Buurt   "
"2096","0.0.0 ","Totaal misdrijven","BU03730709","Verspreide huizen in de polders","2023JJ00",2023-01-01,"Y","2023",3,"Bergen (NH.)                  ","Buurt   "
