naam,nummer,bevolking,misdaad,buurten,gini_misdaad,provincie
Haarlem,0392,167670,8009,111,0.5,Noord-Holland
Haarlemmermeer,0394,163115,5143,97,0.56,Noord-Holland
Halderberge,1655,31185,863,20,0.53,Noord-Brabant
Hardenberg,0160,62925,1190,74,0.69,Overijssel
Harderwijk,0243,49390,1357,61,0.54,Gelderland
Hardinxveld-Giessendam,0523,18760,287,25,0.64,Zuid-Holland
Harlingen,0072,16230,349,12,0.72,Friesland
Hattem,0244,12630,254,10,0.38,Gelderland
Heemskerk,0396,39455,1079,38,0.6,Noord-Holland
Heemstede,0397,27580,916,14,0.47,Noord-Holland
Heerde,0246,19215,271,15,0.71,Gelderland
Heerenveen,0074,51790,1388,31,0.7,Friesland
Heerlen,0917,87460,4433,57,0.48,Limburg
Heeze-Leende,1658,16800,369,12,0.71,Noord-Brabant
Heiloo,0399,24320,619,20,0.5,Noord-Holland
Hellendoorn,0163,36235,534,39,0.51,Overijssel
Helmond,0794,95870,4500,44,0.49,Noord-Brabant
Hendrik-Ido-Ambacht,0531,32695,730,12,0.46,Zuid-Holland
Hengelo (O.),0164,83060,2904,62,0.59,Overijssel
Het Hogeland,1966,48200,803,63,0.51,Groningen
Heumen,0252,16835,368,19,0.66,Gelderland
Heusden,0797,46015,977,17,0.48,Noord-Brabant
Hillegom,0534,22820,568,22,0.56,Zuid-Holland
Hilvarenbeek,0798,15960,391,11,0.74,Noord-Brabant
Hilversum,0402,94440,3243,43,0.54,Noord-Holland
Hoeksche Waard,1963,90245,1357,41,0.52,Zuid-Holland
Hof van Twente,1735,35445,506,48,0.53,Overijssel
Hollands Kroon,1911,49535,860,67,0.53,Noord-Holland
Hoogeveen,0118,56585,1674,48,0.62,Drenthe
Hoorn,0405,75640,2666,74,0.55,Noord-Holland
Horst aan de Maas,1507,43925,1086,49,0.56,Limburg
Houten,0321,50825,1013,61,0.49,Utrecht
Huizen,0406,41195,766,30,0.55,Noord-Holland
Hulst,0677,27330,560,48,0.57,Zeeland
IJsselstein,0353,33415,952,31,0.47,Utrecht
Kaag en Braassem,1884,29170,463,27,0.5,Zuid-Holland
Kampen,0166,56180,1282,36,0.64,Overijssel
Kapelle,0678,13010,269,6,0.75,Zeeland
Katwijk,0537,66970,1869,42,0.38,Zuid-Holland
Kerkrade,0928,45305,1788,18,0.39,Limburg
Koggenland,1598,23585,412,60,0.51,Noord-Holland
Krimpen aan den IJssel,0542,29630,486,6,0.33,Zuid-Holland
Krimpenerwaard,1931,57775,1055,68,0.58,Zuid-Holland
Laarbeek,1659,23215,466,15,0.6,Noord-Brabant
Land van Cuijk,1982,91730,2096,101,0.62,Noord-Brabant
Landgraaf,0882,37120,1151,27,0.43,Limburg
Landsmeer,0415,11665,410,10,0.65,Noord-Holland
Lansingerland,1621,65610,1603,61,0.5,Zuid-Holland
Laren (NH.),0417,11435,337,10,0.6,Noord-Holland
Leeuwarden,0080,128800,5511,131,0.66,Friesland
Leiden,0546,130095,5364,54,0.41,Zuid-Holland
Leiderdorp,0547,27745,702,20,0.4,Zuid-Holland
Leidschendam-Voorburg,1916,78240,2799,43,0.47,Zuid-Holland
Lelystad,0995,84075,2903,136,0.65,Flevoland
Leudal,1640,36000,764,32,0.56,Limburg
Leusden,0327,31695,610,28,0.4,Utrecht
Lingewaard,1705,47315,828,42,0.43,Gelderland
Lisse,0553,23455,493,22,0.47,Zuid-Holland
Lochem,0262,34300,610,36,0.48,Gelderland
Loon op Zand,0809,23845,660,32,0.49,Noord-Brabant
Lopik,0331,14725,199,14,0.63,Utrecht
Losser,0168,23385,375,13,0.65,Overijssel
Maasdriel,0263,26205,549,24,0.6,Gelderland
Maasgouw,1641,24400,462,16,0.55,Limburg
Maashorst,1991,59205,1746,39,0.55,Noord-Brabant
Maassluis,0556,35825,916,19,0.47,Zuid-Holland
Maastricht,0935,125305,6242,44,0.56,Limburg
Medemblik,0420,46015,866,61,0.57,Noord-Holland
Meerssen,0938,18580,440,14,0.75,Limburg
Meierijstad,1948,84300,2010,93,0.51,Noord-Brabant
Meppel,0119,35810,895,46,0.68,Drenthe
Middelburg (Z.),0687,50015,1798,72,0.74,Zeeland
Midden-Delfland,1842,19375,390,13,0.67,Zuid-Holland
Midden-Drenthe,1731,34085,569,48,0.78,Drenthe
Midden-Groningen,1952,61445,1587,91,0.71,Groningen
Moerdijk,1709,38080,1106,39,0.62,Noord-Brabant
Molenlanden,1978,45285,584,114,0.74,Zuid-Holland
Montferland,1955,36875,593,27,0.67,Gelderland
Montfoort,0335,13870,276,12,0.76,Utrecht
Mook en Middelaar,0944,8155,164,5,0.59,Limburg
Neder-Betuwe,1740,25710,391,18,0.61,Gelderland
Nederweert,0946,17475,329,15,0.64,Limburg
Nieuwegein,0356,65955,2691,39,0.36,Utrecht
Nieuwkoop,0569,29495,449,37,0.67,Zuid-Holland
Nijkerk,0267,45370,855,33,0.42,Gelderland
Nijmegen,0268,187050,9634,44,0.54,Gelderland
Nissewaard,1930,87605,2558,89,0.55,Zuid-Holland
Noordoost-Friesland,1970,45890,667,97,0.7,Friesland
Noord-Beveland,1695,7940,139,14,0.62,Zeeland
Noordenveld,1699,31690,502,35,0.77,Drenthe
Noordoostpolder,0171,50020,1177,49,0.6,Flevoland
Noordwijk,0575,45740,1293,44,0.42,Zuid-Holland
Nuenen Gerwen en Nederwetten,0820,24235,491,10,0.65,Noord-Brabant
Nunspeet,0302,29080,547,14,0.73,Gelderland
Oegstgeest,0579,25950,743,15,0.42,Zuid-Holland
Oirschot,0823,19275,378,15,0.6,Noord-Brabant
Oisterwijk,0824,32940,724,35,0.53,Noord-Brabant
Oldambt,1895,39375,1231,50,0.68,Groningen
Oldebroek,0269,24270,497,26,0.71,Gelderland
Oldenzaal,0173,31780,776,14,0.53,Overijssel
Olst-Wijhe,1773,18835,308,23,0.66,Overijssel
Ommen,0175,19035,320,46,0.66,Overijssel
Oost Gelre,1586,29985,541,41,0.49,Gelderland
Oosterhout,0826,57935,1547,44,0.49,Noord-Brabant
Ooststellingwerf,0085,25825,442,59,0.5,Friesland
Oostzaan,0431,9695,305,4,0.63,Noord-Holland
Opmeer,0432,12190,224,46,0.53,Noord-Holland
Opsterland,0086,30045,402,50,0.5,Friesland
Oss,0828,94650,3545,106,0.69,Noord-Brabant
Oude IJsselstreek,1509,39380,721,32,0.73,Gelderland
Ouder-Amstel,0437,14455,696,7,0.68,Noord-Holland
Oudewater,0589,10225,151,18,0.65,Utrecht
Overbetuwe,1734,48915,1080,90,0.57,Gelderland
Papendrecht,0590,32190,691,34,0.57,Zuid-Holland
Peel en Maas,1894,45505,953,53,0.54,Limburg
Pekela,0765,12515,287,5,0.77,Groningen
Pijnacker-Nootdorp,1926,57935,1279,32,0.45,Zuid-Holland
Purmerend,0439,95165,2658,31,0.46,Noord-Holland
Putten,0273,24980,463,13,0.52,Gelderland
Raalte,0177,38375,609,38,0.5,Overijssel
Reimerswaal,0703,23310,459,28,0.51,Zeeland
Renkum,0274,31435,691,54,0.61,Gelderland
Renswoude,0339,5755,78,2,0.15,Utrecht
Reusel-De Mierden,1667,13575,261,11,0.64,Noord-Brabant
Rheden,0275,43655,1196,23,0.76,Gelderland
Rhenen,0340,20230,447,30,0.58,Utrecht
Ridderkerk,0597,47710,1308,12,0.43,Zuid-Holland
Rijssen-Holten,1742,38690,610,46,0.57,Overijssel
Rijswijk (ZH.),0603,59625,2501,32,0.53,Zuid-Holland
Roerdalen,1669,20815,372,24,0.72,Limburg
Roermond,0957,60755,3078,36,0.6,Limburg
Roosendaal,1674,77550,3722,55,0.54,Noord-Brabant
Rotterdam,0599,670585,40956,91,0.49,Zuid-Holland
Rozendaal,0277,1835,343,2,0.95,Gelderland
Rucphen,0840,23925,615,11,0.58,Noord-Brabant
Schagen,0441,47760,1199,78,0.66,Noord-Holland
Scherpenzeel,0279,10345,135,3,0.81,Gelderland
Schiedam,0606,81835,3796,70,0.41,Zuid-Holland
Schiermonnikoog,0088,970,33,2,0.09,Friesland
Schouwen-Duiveland,1676,34655,748,51,0.61,Zeeland
Simpelveld,0965,10260,203,9,0.55,Limburg
Sint-Michielsgestel,0845,30105,518,23,0.57,Noord-Brabant
Sittard-Geleen,1883,92665,3596,37,0.54,Limburg
Sliedrecht,0610,26265,467,33,0.47,Zuid-Holland
Sluis,1714,23150,423,35,0.64,Zeeland
Smallingerland,0090,56660,1657,61,0.5,Friesland
Soest,0342,47700,1097,29,0.59,Utrecht
Someren,0847,20190,426,34,0.66,Noord-Brabant
Son en Breugel,0848,17965,485,8,0.54,Noord-Brabant
Stadskanaal,0037,32035,749,27,0.56,Groningen
Staphorst,0180,17750,184,25,0.49,Overijssel
Stede Broec,0532,22210,448,26,0.52,Noord-Holland
Steenbergen,0851,24450,520,18,0.63,Noord-Brabant
Steenwijkerland,1708,45465,799,93,0.72,Overijssel
Stein (L.),0971,24750,533,13,0.45,Limburg
Stichtse Vecht,1904,65885,1644,97,0.64,Utrecht
Súdwest-Fryslân,1900,90430,2032,155,0.79,Friesland
Terneuzen,0715,55135,1378,41,0.57,Zeeland
Terschelling,0093,4900,119,16,0.8,Friesland
Texel,0448,13830,266,13,0.68,Noord-Holland
Teylingen,1525,38450,997,51,0.61,Zuid-Holland
Tholen,0716,26855,384,17,0.61,Zeeland
Tiel,0281,42365,1590,30,0.53,Gelderland
Tilburg,0855,229865,11214,254,0.57,Noord-Brabant
Tubbergen,0183,21390,268,29,0.52,Overijssel
Twenterand,1700,34070,475,27,0.6,Overijssel
Tynaarlo,1730,34730,520,45,0.74,Drenthe
Tytsjerksteradiel,0737,32600,545,31,0.72,Friesland
Uitgeest,0450,13400,325,6,0.42,Noord-Holland
Uithoorn,0451,31680,830,11,0.58,Noord-Holland
Urk,0184,21950,344,11,0.46,Flevoland
Utrecht,0344,374200,21669,111,0.47,Utrecht
Utrechtse Heuvelrug,1581,50560,1088,33,0.53,Utrecht
Vaals,0981,10115,239,9,0.81,Limburg
Valkenburg aan de Geul,0994,16430,530,32,0.77,Limburg
Valkenswaard,0858,31715,915,20,0.54,Noord-Brabant
Veendam,0047,27520,848,17,0.61,Groningen
Veenendaal,0345,69450,1777,38,0.52,Utrecht
Veere,0717,22070,490,38,0.48,Zeeland
Veldhoven,0861,46845,1222,17,0.48,Noord-Brabant
Velsen,0453,69175,1979,63,0.35,Noord-Holland
Venlo,0983,103800,4901,114,0.65,Limburg
Venray,0984,44655,1343,32,0.49,Limburg
Vijfheerenlanden,1961,61705,1299,88,0.51,Utrecht
Vlaardingen,0622,76435,2808,40,0.53,Zuid-Holland
Vlieland,0096,1255,81,2,0.16,Friesland
Vlissingen,0718,45410,1727,42,0.53,Zeeland
Voerendaal,0986,12385,195,16,0.68,Limburg
Voorne aan Zee,1992,74310,1726,70,0.49,Zuid-Holland
Voorschoten,0626,25610,680,12,0.35,Zuid-Holland
Voorst,0285,25380,480,31,0.69,Gelderland
